,Bus_Station_Name,Location,Postcode
2839,Princes Hwy/Ferntree Gully Rd (Oakleigh East),"-37.896302, 145.099615",3166
2840,Clyde St/Princes Hwy (Oakleigh),"-37.895233, 145.095935",3166
2841,Logie St/Atkinson St (Oakleigh),"-37.895107, 145.093198",3166
2842,Bentleigh Library/Jasper Rd (Bentleigh),"-37.919608, 145.041476",3204
2843,Bentleigh Reserve/Jasper Rd (Bentleigh),"-37.921629, 145.04107",3204
2844,London St/Jasper Rd (Bentleigh),"-37.924352, 145.040599",3204
2845,Roma St/Patterson Rd (Bentleigh),"-37.92657, 145.042884",3204
2846,Beverley Rd/Point Nepean Rd (Mccrae),"-38.347932, 144.929881",3938
2847,The Avenue/Point Nepean Rd (Mccrae),"-38.35035, 144.924468",3938
2848,Siesta Caravan Park/Point Nepean Rd (Rosebud),"-38.352119, 144.918525",3938
2849,Adams Ave/Point Nepean Rd (Rosebud),"-38.353431, 144.913773",3938
2850,Rosebud Village SC/Point Nepean Rd (Rosebud),"-38.355145, 144.906789",3938
2851,Eighth Ave/Point Nepean Rd (Rosebud),"-38.356071, 144.903157",3938
2852,Sixth Ave/Point Nepean Rd (Rosebud),"-38.357096, 144.900484",3940
2853,Third Ave/Point Nepean Rd (Rosebud),"-38.357592, 144.898513",3940
2854,First Ave/Point Nepean Rd (Rosebud),"-38.35833, 144.895962",3940
2855,Rosebud Plaza/Point Nepean Rd (Rosebud),"-38.359686, 144.891151",3940
2856,Rosebud Hospital/Point Nepean Rd (Capel Sound),"-38.36147, 144.884644",3939
2857,Percival St/Point Nepean Rd (Capel Sound),"-38.362481, 144.88077",3940
2858,Chatfield Ave/Point Nepean Rd (Capel Sound),"-38.363131, 144.878336",3940
2859,Elizabeth Ave/Point Nepean Rd (Capel Sound),"-38.364953, 144.871461",3940
2860,Rose St/Point Nepean Rd (Capel Sound),"-38.365508, 144.868813",3940
2861,Violet St/Point Nepean Rd (Capel Sound),"-38.3663, 144.865768",3940
2862,Truemans Rd/Point Nepean Rd (Tootgarook),"-38.367197, 144.86209",3940
2863,Junction Rd/Marchiori Rd (Blackburn North),"-37.807436, 145.164448",3130
2864,Tootgarook Boat Ramp/Point Nepean Rd (Tootgarook),"-38.36773, 144.859706",3940
2865,Carmichael St/Point Nepean Rd (Tootgarook),"-38.368532, 144.855768",3940
2866,Keith St/Point Nepean Rd (Tootgarook),"-38.369181, 144.853333",3941
2867,Kevin St/Point Nepean Rd (Tootgarook),"-38.369438, 144.851094",3940
2868,Romney Ave/Point Nepean Rd (Tootgarook),"-38.36995, 144.847119",3941
2869,Laura St/Point Nepean Rd (Tootgarook),"-38.370562, 144.842659",3941
2870,Shirlow Ave/Point Nepean Rd (Rye),"-38.370939, 144.837658",3941
2871,Rye Foreshore Reserve/Point Nepean Rd (Rye),"-38.371092, 144.833258",3941
2872,Hygeia St/Point Nepean Rd (Rye),"-38.371134, 144.830189",3941
2873,Weir St/Point Nepean Rd (Rye),"-38.371102, 144.827512",3941
2874,Essex St/Marchiori Rd (Blackburn North),"-37.81024, 145.163935",3130
2875,Lyons St/Point Nepean Rd (Rye),"-38.370652, 144.824092",3941
2876,Rye Pier/Point Nepean Rd (Rye),"-38.370435, 144.82166",3941
2877,Dundas St/Point Nepean Rd (Rye),"-38.369986, 144.818812",3941
2878,Elgan Ave/Point Nepean Rd (Rye),"-38.369283, 144.814942",3941
2879,Tyrone Foreshore/Point Nepean Rd (Rye),"-38.367446, 144.808279",3941
2880,Johns Dr/Point Nepean Rd (Rye),"-38.366835, 144.805436",3941
2881,Centre Dr/Point Nepean Rd (Rye),"-38.366106, 144.802139",3941
2882,Flinders St/Point Nepean Rd (Rye),"-38.365604, 144.799899",3941
2883,Tyrone Ave/Point Nepean Rd (Rye),"-38.364551, 144.795159",3941
2884,Murray St/Point Nepean Rd (Rye),"-38.363655, 144.790631",3941
2885,Maylands Ave/Burke Rd (Balwyn North),"-37.797318, 145.063256",3102
2886,Canterbury Jetty Rd/Point Nepean Rd (Blairgowrie),"-38.363088, 144.788302",3941
2887,Adelaide St/Point Nepean Rd (Blairgowrie),"-38.362319, 144.785739",3941
2888,Revell St/Point Nepean Rd (Blairgowrie),"-38.361561, 144.783302",3941
2889,St Johns Wood Rd/Point Nepean Rd (Blairgowrie),"-38.361045, 144.780307",3943
2890,The Loop/Point Nepean Rd (Blairgowrie),"-38.360421, 144.776413",3943
2891,Blairgowrie Yacht Squadron/Point Nepean Rd (Blairgowrie),"-38.358839, 144.771357",3943
2892,Stringer Rd/Point Nepean Rd (Blairgowrie),"-38.357083, 144.766696",3943
2893,Hughes Rd/Point Nepean Rd (Sorrento),"-38.35315, 144.762228",3943
2894,Collins Settlement/Point Nepean Rd (Sorrento),"-38.349976, 144.76164",3943
2895,Lister Ave/Point Nepean Rd (Sorrento),"-38.347966, 144.759733",3943
2896,Stuart St/Clow St (Dandenong),"-37.985138, 145.21746",3177
2897,Calcutta St/Point Nepean Rd (Sorrento),"-38.346685, 144.756329",3943
2898,Erlandsen Ave/Point Nepean Rd (Sorrento),"-38.344619, 144.752445",3943
2899,Salonika St/Point Nepean Rd (Sorrento),"-38.343318, 144.749442",3943
2900,Webster Corner/St Pauls Rd (Sorrento),"-38.343009, 144.748376",3943
2901,Hill St/St Pauls Rd (Sorrento),"-38.34491, 144.746006",3943
2902,Webster St/St Pauls Rd (Sorrento),"-38.345933, 144.744418",3943
2903,Russell Cres/St Pauls Rd (Sorrento),"-38.347442, 144.742758",3943
2904,Bowen Rd/Melbourne Rd (Sorrento),"-38.34565, 144.73953",3943
2905,Darling Rd/Coppin Rd (Sorrento),"-38.342987, 144.740196",3943
2906,Clement St/Clow St (Dandenong),"-37.985635, 145.221741",3177
2907,Ocean Beach Rd/Kerferd Ave (Sorrento),"-38.339902, 144.739572",3943
2908,Melbourne Rd/Ocean Beach Rd (Sorrento),"-38.340128, 144.736796",3943
2909,Sorrento Tennis Club/Melbourne Rd (Sorrento),"-38.337234, 144.734861",3943
2910,River Gum Creek Reserve/Baringa Park Dr (Narre Warren South),"-38.05774, 145.296657",3976
2911,Narre Warren-Cranbourne Rd/Baringa Park Dr (Narre Warren South),"-38.058611, 145.298893",3976
2912,Casey College/Narre Warren-Cranbourne Rd (Narre Warren South),"-38.049899, 145.302183",3806
2913,Mack Rd/Narre Warren-Cranbourne Rd (Narre Warren South),"-38.045981, 145.302992",3806
2914,Chisholm TAFE/Stud Rd (Dandenong),"-37.974865, 145.222889",3177
2915,Fleetwood Dr/Narre Warren-Cranbourne Rd (Narre Warren),"-38.038442, 145.304488",3805
2916,Ray Bastin Reserve/Narre Warren-Cranbourne Rd (Narre Warren),"-38.034317, 145.305301",3805
2917,Fountain Gate Tennis Club/Raven Cres (Narre Warren),"-38.016667, 145.294977",3805
2918,Westleigh Cres/Fountain Dr (Narre Warren),"-38.014966, 145.295745",3805
2919,Tinks Rd/Fountain Dr (Narre Warren),"-38.013837, 145.291898",3805
2920,Sylvanwood Cres/Prospect Hill Rd (Narre Warren),"-38.009447, 145.293014",3805
2921,Fountain Gate PS/Victoria Rd (Narre Warren),"-38.009394, 145.296204",3805
2922,Fountain Gate Sec Col/Victoria Rd (Narre Warren),"-38.006256, 145.296733",3805
2923,Maramba PS/Maramba Dr (Narre Warren),"-38.003705, 145.30416",3805
2924,Stud Rd/David St (Dandenong),"-37.977738, 145.222762",3177
2925,Doug Ct/Maramba Dr (Narre Warren),"-38.002325, 145.302803",3805
2926,Duncan St/Maramba Dr (Narre Warren),"-38.001881, 145.298314",3805
2927,Creighton St/Maramba Dr (Narre Warren),"-37.998576, 145.299051",3805
2928,Ernst Wanke Rd/Maramba Dr (Narre Warren),"-37.99658, 145.299382",3805
2929,Jack Thomas Reserve/Ernst Wanke Rd (Narre Warren),"-37.995727, 145.305221",3805
2930,Mary Mackillop Catholic PS/Ernst Wanke Rd (Narre Warren),"-37.996482, 145.311968",3804
2931,Kingdom Hall of Jehovah's Witnesses/Ernst Wanke Rd (Narre Warren North),"-37.996697, 145.313808",3804
2932,Diamond Ct/Ernst Wanke Rd (Narre Warren),"-37.999003, 145.319962",3804
2933,Walmer St/Studley Park Rd (Kew),"-37.803452, 145.011213",3067
2934,Valley Village Mews Ret Village/David St (Dandenong),"-37.978153, 145.226384",3177
2935,Quarry Rd/Ernst Wanke Rd (Narre Warren),"-38.004377, 145.322732",3804
2936,Silverleaves Bvd/Ernst Wanke Rd (Berwick),"-38.007028, 145.322205",3804
2937,Jerilderie Dr/Ernst Wanke Rd (Berwick),"-38.009944, 145.32256",3804
2938,Parkhill Plaza SC/Ernst Wanke Rd (Berwick),"-38.013578, 145.323366",3805
2939,Mt Dandenong Rd/Dorset Rd (Croydon),"-37.800868, 145.289683",3136
2940,Pinewood Cres/Parkhill Dr (Berwick),"-38.017986, 145.323425",3806
2941,Bangalay Pl/Parkhill Dr (Berwick),"-38.020533, 145.322524",3806
2942,The Gateway/Parkhill Dr (Berwick),"-38.022841, 145.322015",3806
2943,Narre Warren North CFA/Memorial Dr (Narre Warren North),"-37.987744, 145.314731",3804
2944,Jesson Cres/Ross St (Dandenong),"-37.980527, 145.226578",3177
2945,Mary Mackillop Catholic PS/Narre Warren North Rd (Narre Warren),"-37.995966, 145.313039",3804
2946,382 Narre Warren North Rd (Narre Warren),"-38.000692, 145.312077",3805
2947,Kurrajong Rd/Narre Warren North Rd (Narre Warren),"-38.001645, 145.311895",3805
2948,Sarnia Ct/Kurrajong Rd (Narre Warren),"-38.0021, 145.312193",3805
2949,Oatlands PS/Kurrajong Rd (Narre Warren),"-38.005912, 145.31665",3805
2950,Archibald Ave/Kurrajong Rd (Narre Warren),"-38.00904, 145.316043",3805
2951,Kallara Cres/Kurrajong Rd (Narre Warren),"-38.012082, 145.314549",3805
2952,Ryelands Dr/Kurrajong Rd (Narre Warren),"-38.015095, 145.312179",3805
2953,Song St/Ryelands Dr (Narre Warren),"-38.014269, 145.310524",3805
2954,King St/Ross St (Dandenong),"-37.983806, 145.225929",3177
2955,Bradley Tce/Saxonwood Dr (Narre Warren),"-38.03191, 145.309013",3806
2956,Upton Cres/Saxonwood Dr (Narre Warren),"-38.03246, 145.312761",3806
2957,Upton Cres/Darling Way (Narre Warren),"-38.033323, 145.316421",3806
2958,Woodlands Cres/Darling Way (Narre Warren),"-38.03476, 145.319829",3806
2959,Poorinda Rise/Darling Way (Narre Warren),"-38.037521, 145.322569",3806
2960,Fleetwood PS/Fleetwood Dr (Narre Warren),"-38.039397, 145.31888",3806
2961,Rosemont Dr/Fleetwood Dr (Narre Warren),"-38.039392, 145.313502",3806
2962,Coonara Ct/Fleetwood Dr (Narre Warren),"-38.038689, 145.309792",3806
2963,Sarona St/Ross St (Dandenong),"-37.985586, 145.225613",3177
2964,John Byron Reserve/Fleetwood Dr (Narre Warren),"-38.038861, 145.305424",3806
2965,Pound Rd/Narre Warren-Cranbourne Rd (Narre Warren South),"-38.05265, 145.301755",3976
2966,Baringa Park Dr/Narre Warren-Cranbourne Rd (Narre Warren South),"-38.058921, 145.300448",3976
2967,Archibald Ave/Kurrajong Rd (Narre Warren),"-38.009523, 145.315792",3805
2968,Kallara Cres/Kurrajong Rd (Narre Warren),"-38.012009, 145.31446",3805
2969,Diosma Ct/Kurrajong Rd (Narre Warren),"-38.014568, 145.31251",3805
2970,Song St/Ryelands Dr (Narre Warren),"-38.014086, 145.310323",3805
2971,Casey Gardens Day Hospital/Fullard Rd (Narre Warren),"-38.031138, 145.304838",3805
2972,Raymond McMahon Medical Centre/Raymond McMahon Bvd (Endeavour Hills),"-37.978603, 145.261292",3802
2973,Tingle Cl/Saxonwood Dr (Narre Warren),"-38.032057, 145.309169",3806
2974,Darling Way/Saxonwood Dr (Narre Warren),"-38.033382, 145.313628",3806
2975,Upton Cres/Darling Way (Narre Warren),"-38.033431, 145.316407",3806
2976,Woodlands Cres/Darling Way (Narre Warren),"-38.034869, 145.319906",3806
2977,Pendula Ct/Darling Way (Narre Warren),"-38.037824, 145.322346",3806
2978,Darling Way/Fleetwood Dr (Narre Warren),"-38.039262, 145.318951",3806
2979,Rosemont Dr/Fleetwood Dr (Narre Warren),"-38.039244, 145.313254",3806
2980,Coonara Ct/Fleetwood Dr (Narre Warren),"-38.038543, 145.30967",3806
2981,John Byron Reserve/Fleetwood Dr (Narre Warren),"-38.038733, 145.30529",3806
2982,McRae Mews/Raymond McMahon Bvd (Endeavour Hills),"-37.979246, 145.265774",3802
2983,Pound Rd/Narre Warren-Cranbourne Rd (Narre Warren South),"-38.052853, 145.301443",3976
2984,Baringa Park Dr/Narre Warren-Cranbourne Rd (Narre Warren South),"-38.058955, 145.300253",3976
2985,Galloway Dr/Narre Warren-Cranbourne Rd (Narre Warren South),"-38.062404, 145.299466",3976
2986,Casey Central SC/Narre Warren-Cranbourne Rd (Narre Warren South),"-38.064786, 145.299069",3976
2987,Hamilton Dr/Narre Warren-Cranbourne Rd (Cranbourne North),"-38.079669, 145.296228",3977
2988,Courtenay Ave/Thompsons Rd (Cranbourne North),"-38.083609, 145.287676",3977
2989,Rosebank Dr/Thompsons Rd (Cranbourne North),"-38.083107, 145.283561",3977
2990,Thompson Parkway SC/Thompsons Rd (Cranbourne North),"-38.082131, 145.277244",3977
2991,Clairmont Ave/South Gippsland Hwy (Cranbourne),"-38.092049, 145.280626",3977
2992,Camp Hill Rd/Tasman Rd (Somers),"-38.393657, 145.163596",3927
2993,Somers Foreshore Reserve/The Boulevard (Somers),"-38.393967, 145.161516",3927
2994,Ocean View Cres/The Boulevard (Somers),"-38.393102, 145.158675",3927
2995,Reserve Rd/Parklands Ave (Somers),"-38.391795, 145.152926",3927
2996,The Promenade/Parklands Ave (Somers),"-38.39141, 145.147395",3927
2997,Coolart Wetlands/Lord Somers Rd (Somers),"-38.388487, 145.146599",3927
2998,Coolart Rd/Sandy Point Rd (Somers),"-38.376134, 145.144957",3927
2999,Balnarring Village SC/Frankston-Flinders Rd (Balnarring),"-38.374177, 145.126211",3927
3000,Point Leo Rd/Frankston-Flinders Rd (Shoreham),"-38.407057, 145.065067",3916
3001,Nelson St/Frankston-Flinders Rd (Shoreham),"-38.41575, 145.051332",3916
3002,Prout Webb Rd/Byrnes Rd (Shoreham),"-38.426754, 145.046557",3916
3003,Belgrave Swimming Pool/Best St (Belgrave),"-37.914457, 145.354091",3160
3004,Ross St/Best St (Belgrave),"-37.914512, 145.349074",3160
3005,Grey St/Best St (Belgrave),"-37.914427, 145.345526",3160
3006,Edward St/Grey St (Belgrave),"-37.913501, 145.347003",3160
3007,Grey St/Station St (Belgrave),"-37.911871, 145.347722",3160
3008,McNicol Rd/Station St (Belgrave),"-37.91285, 145.344299",3160
3009,Catherine Way/McNicol Rd (Tecoma),"-37.910659, 145.343552",3160
3010,Burwood Hwy/Sandells Rd (Tecoma),"-37.90617, 145.344107",3160
3011,Frame Ave/Sandells Rd (Tecoma),"-37.903183, 145.345153",3160
3012,Olive Gr/Sandells Rd (Tecoma),"-37.900941, 145.345919",3160
3013,Sandells Rd/Blackwood St (Tecoma),"-37.899148, 145.346596",3158
3014,Gordon Ave/Blackwood St (Tecoma),"-37.898065, 145.344551",3158
3015,Boneo Rd/Point Nepean Rd (Rosebud),"-38.360977, 144.886307",3940
3016,Springfield Rd/Koonung Rd (Blackburn North),"-37.810037, 145.152104",3130
3017,Michelle Dr/Hodgins Rd (Hastings),"-38.299902, 145.176781",3915
3018,Hodgins Rd/Wallaroo Pl (Hastings),"-38.299559, 145.174456",3915
3019,Michelle Dr/Hodgins Rd (Hastings),"-38.299926, 145.176597",3915
3020,Wallis Dr/Hodgins Rd (Hastings),"-38.299833, 145.18513",3915
3021,Victoria St/Hodgins Rd (Hastings),"-38.299832, 145.19031",3915
3022,Burke St/Marine Pde (Hastings),"-38.295771, 145.189954",3915
3023,Robertson St/Marine Pde (Hastings),"-38.287971, 145.189599",3915
3024,Tyabb Central Recreation Reserve/Frankston-Flinders Rd (Tyabb),"-38.261604, 145.189602",3913
3025,Melbourne Life Christian Church/Cotham Rd (Kew),"-37.809805, 145.05649",3102
3026,Goodwin St/Springfield Rd (Blackburn),"-37.811865, 145.164679",3130
3027,Stuart Rd/Mornington-Tyabb Rd (Tyabb),"-38.261332, 145.183106",3913
3028,Flinders College/Mornington-Tyabb Rd (Tyabb),"-38.261374, 145.169024",3913
3029,McLaurin Dr/Jones Rd (Tyabb),"-38.253831, 145.168402",3913
3030,Pottery Rd/Jones Rd (Somerville),"-38.245195, 145.170538",3912
3031,Bungower Rd/Jones Rd (Somerville),"-38.237727, 145.172371",3912
3032,Somerville Recreation Reserve/Park Lane (Somerville),"-38.231329, 145.174702",3912
3033,Frankston-Flinders Rd/Park Lane (Somerville),"-38.231347, 145.181693",3912
3034,Almer Ave/Springfield Rd (Blackburn),"-37.812139, 145.167217",3130
3035,Carlisle Cres/Richardson St (Hughesdale),"-37.899123, 145.08411",3617
3036,Canterbury St/Kangaroo Rd (Hughesdale),"-37.900497, 145.082118",3617
3037,Darling St/Kangaroo Rd (Hughesdale),"-37.89994, 145.080062",3617
3038,25 Mount Pleasant Rd (Nunawading),"-37.822779, 145.17861",3131
3039,Alan St/Dorking Rd (Box Hill North),"-37.804561, 145.13342",3129
3040,East India Ave/Mount Pleasant Rd (Nunawading),"-37.82429, 145.178448",3131
3041,Mount Pleasant Rd/Heather Gr (Nunawading),"-37.825526, 145.177918",3131
3042,Haros Ave/Springvale Rd (Nunawading),"-37.827337, 145.174408",3131
3043,Holberry St/Springvale Rd (Nunawading),"-37.829897, 145.173901",3131
3044,Caves Gr/Springvale Rd (Forest Hill),"-37.832889, 145.173328",3131
3045,Thornhill Dr/Canterbury Rd (Forest Hill),"-37.834513, 145.169936",3131
3046,Canterbury Rd/Springvale Rd (Forest Hill),"-37.835583, 145.17267",3131
3047,Husband Rd/Springvale Rd (Forest Hill),"-37.838853, 145.172022",3131
3048,Poath Rd/Kangaroo Rd (Hughesdale),"-37.898693, 145.076535",3166
3049,Woodhouse Gr/Dorking Rd (Box Hill North),"-37.802997, 145.133732",3129
3050,Murrumbeena Park/Kangaroo Rd (Murrumbeena),"-37.898077, 145.072468",3163
3051,Thaxted Rd/Kangaroo Rd (Murrumbeena),"-37.897641, 145.068977",3163
3052,Second Ave/Kangaroo Rd (Murrumbeena),"-37.897461, 145.067344",3163
3053,Murrumbeena Rd/Kangaroo Rd (Murrumbeena),"-37.897213, 145.065372",3163
3054,Murrumbeena Rd/Coorigil Rd (Murrumbeena),"-37.896202, 145.064761",3163
3055,Carool Rd/Coorigil Rd (Carnegie),"-37.895868, 145.061973",3163
3056,Warina Rd/Coorigil Rd (Carnegie),"-37.895564, 145.059399",3163
3057,Koornang Rd/Coorigil Rd (Carnegie),"-37.895179, 145.056271",3163
3058,Norman St/Simpson St (Mitcham),"-37.824075, 145.198426",3132
3059,Cecil Ct/Ferris Ave (Mitcham),"-37.825669, 145.199558",3132
3060,Dorking Rd/Roselea St (Box Hill North),"-37.802258, 145.134262",3129
3061,Ferris Ave/Glenburnie Rd (Mitcham),"-37.825572, 145.200833",3132
3062,Orient Ave/Glenburnie Rd (Mitcham),"-37.827444, 145.200674",3132
3063,Langford Ave/Glenburnie Rd (Mitcham),"-37.828668, 145.200587",3132
3064,Dresden Ave/Great Ryrie St (Heathmont),"-37.826783, 145.237411",3135
3065,Emerald St/Great Ryrie St (Ringwood),"-37.821531, 145.237547",3135
3066,Franklin Rd/Hotham Rd (Portsea),"-38.331588, 144.716459",3943
3067,Ibis Way/Franklin Rd (Portsea),"-38.328859, 144.716556",3943
3068,Martins Lane/Franklin Rd (Portsea),"-38.327056, 144.716967",3943
3069,Royal Ave/Franklin Rd (Portsea),"-38.324445, 144.717518",3943
3070,Ross St/Clow St (Dandenong),"-37.985997, 145.224772",3177
3071,Point Nepean Rd/Franklin Rd (Portsea),"-38.321033, 144.718129",3943
3072,Nepean Pl/Point Nepean Rd (Portsea),"-38.320022, 144.712979",3943
3073,Delgany Ave/Point Nepean Rd (Portsea),"-38.319656, 144.709479",3943
3074,Escarpment Dr/Frankston-Flinders Rd (Frankston South),"-38.18635, 145.143525",3911
3075,Baxter Park/Frankston-Flinders Rd (Frankston South),"-38.193521, 145.147945",3911
3076,Deborah Dr/Frankston - Flinders Rd (Baxter),"-38.198115, 145.150729",3911
3077,Coolart Nursery/425 Coolart Rd (Somerville),"-38.20862, 145.157966",3933
3078,Woodlands Dr/Eramosa Rd (Somerville),"-38.220992, 145.157346",3912
3079,Robert Booth Reserve/Clow St (Dandenong),"-37.986546, 145.229507",3177
3080,Cassandra Cl/Eramosa Rd (Somerville),"-38.221969, 145.163912",3912
3081,Clairmont Cl/Eramosa Rd (Somerville),"-38.222913, 145.17016",3912
3082,Frankston-Flinders Rd/Park Lane (Somerville),"-38.231446, 145.181702",3912
3083,Somerville Recreation Reserve/Park Lane (Somerville),"-38.231473, 145.174687",3912
3084,Bungower Rd/Jones Rd (Somerville),"-38.237783, 145.172506",3912
3085,The Vines/Jones Rd (Somerville),"-38.244766, 145.170766",3912
3086,Flinders College/Mornington-Tyabb Rd (Tyabb),"-38.261284, 145.17018",3913
3087,Stuart Rd/Mornington-Tyabb Rd (Tyabb),"-38.261249, 145.183588",3913
3088,Tyabb Central Recreation Reserve/Mornington-Tyabb Rd (Tyabb),"-38.261252, 145.188982",3913
3089,Robertson St/Marine Pde (Hastings),"-38.287654, 145.189515",3915
3090,Betula St/Kidds Rd (Doveton),"-37.986806, 145.231824",3177
3091,Thornhill St/Marine Pde (Hastings),"-38.296213, 145.189954",3915
3092,Victoria St/Hodgins Rd (Hastings),"-38.299956, 145.190147",3915
3093,The Bays Hospital/Victoria St (Hastings),"-38.303557, 145.190515",3915
3094,Hastings SC/King St (Hastings),"-38.307178, 145.192175",3915
3095,Hastings Station/High St (Hastings),"-38.307791, 145.186945",3915
3096,Phillip Ct/Frankston-Flinders Rd (Hastings),"-38.309058, 145.183768",3915
3097,Bray St/Frankston-Flinders Rd (Hastings),"-38.313518, 145.183748",3915
3098,Lady Nelson Pkwy/Frankston-Flinders Rd (Bittern),"-38.322266, 145.183061",3915
3099,Bittern Station/Frankston-Flinders Rd (Bittern),"-38.33892, 145.176169",3927
3100,Taylor St/Woolleys Rd (Bittern),"-38.33873, 145.179595",3920
3101,Doveton Baptist Church/Kidds Rd (Doveton),"-37.987567, 145.238706",3177
3102,Woolleys Rd/Stony Point Rd (Bittern),"-38.339436, 145.187929",3920
3103,Symonds St/Stony Point Rd (Bittern),"-38.346371, 145.191155",3920
3104,Bondi Rd/Genoa Ave (Bonbeach),"-38.062235, 145.124873",3197
3105,Howell St/Stony Point Rd (Bittern),"-38.352254, 145.193984",3920
3106,Morradoo Station/Disney St (Crib Point),"-38.353591, 145.190117",3920
3107,Disney St/South Beach Rd (Bittern),"-38.354392, 145.166282",3920
3108,Tower Hill Rd/South Beach Rd (Somers),"-38.390994, 145.178869",3927
3109,South Beach Rd/Tasman Rd (Somers),"-38.39465, 145.175834",3927
3110,Gregory Ave/Tasman Rd (Somers),"-38.394307, 145.171744",3927
3111,Rosebud Village SC/Point Nepean Rd (Rosebud),"-38.354865, 144.906717",3938
3112,Linden Place SC/Power Rd (Doveton),"-37.985375, 145.239806",3177
3113,Jetty Rd/Point Nepean Rd (Rosebud),"-38.354078, 144.909589",3938
3114,Adams Ave/Point Nepean Rd (Rosebud),"-38.353172, 144.912887",3938
3115,Siesta Caravan Park/Point Nepean Rd (Rosebud),"-38.351921, 144.918508",3938
3116,The Avenue/Point Nepean Rd (Mccrae),"-38.350369, 144.923987",3938
3117,Beverley Rd/Point Nepean Rd (Mccrae),"-38.348169, 144.929005",3938
3118,Coburn Ave/Point Nepean Rd (Mccrae),"-38.347106, 144.931598",3938
3119,Penny Lane/Point Nepean Rd (Mccrae),"-38.345969, 144.934033",3938
3120,McCrae Beach/Point Nepean Rd (Mccrae),"-38.344119, 144.937987",3938
3121,Dromana Foreshore Reserve/Point Nepean Rd (Dromana),"-38.340695, 144.946734",3938
3122,Plum St/Power Rd (Doveton),"-37.982365, 145.240344",3177
3123,Latrobe Reserve/Point Nepean Rd (Dromana),"-38.339184, 144.949992",3938
3124,Visitor Information/Point Nepean Rd (Dromana),"-38.336804, 144.956088",3938
3125,Heales St/Point Nepean Rd (Dromana),"-38.335224, 144.959553",3936
3126,Pier St/Point Nepean Rd (Dromana),"-38.332656, 144.964762",3936
3127,Dromana Shops/Point Nepean Rd (Dromana),"-38.331874, 144.966408",3936
3128,Kangerong Ave/Point Nepean Rd (Dromana),"-38.330257, 144.969828",3936
3129,Williams St/Point Nepean Rd (Dromana),"-38.328549, 144.97317",3936
3130,Power Reserve/Power Rd (Doveton),"-37.980199, 145.240783",3177
3131,Mount Martha Rd/Bruce Rd (Mount Martha),"-38.304602, 144.997589",3936
3132,Milparinka St/Bruce Rd (Mount Martha),"-38.304401, 145.001631",3936
3133,Potts Lane/Bruce Rd (Mount Martha),"-38.302496, 145.008305",3936
3134,Forest Dr/Nepean Hwy (Mount Martha),"-38.285127, 145.030993",3934
3135,Stradbroke Park/Burke Rd (Kew),"-37.799887, 145.06278",3102
3136,Griffith St/Power Rd (Endeavour Hills),"-37.976399, 145.241546",3802
3137,Balcombe Grammar School/Nepean Hwy (Mount Martha),"-38.272857, 145.033314",3934
3138,Helena St/Nepean Hwy (Mount Martha),"-38.260851, 145.035272",3934
3139,Craigie Rd/Nepean Hwy (Mount Martha),"-38.254634, 145.035874",3934
3140,Craigcare Nursing Home/Nepean Hwy (Mount Martha),"-38.251477, 145.036256",3934
3141,Green Island Ave/Nepean Hwy (Mount Martha),"-38.246552, 145.037028",3934
3142,Ruth Rd/Nepean Hwy (Mornington),"-38.241578, 145.036522",3931
3143,Strachans Rd/Nepean Hwy (Mornington),"-38.236256, 145.036186",3931
3144,Surrey St/Main St (Mornington),"-38.227875, 145.043722",3931
3145,Aldridge St/Power Rd (Endeavour Hills),"-37.974656, 145.241906",3802
3146,York St/Main St (Mornington),"-38.225935, 145.042472",3931
3147,The Bays Hospital/Main St (Mornington),"-38.223202, 145.040706",3931
3148,The Bays Hospital/Main St (Mornington),"-38.223498, 145.041132",3931
3149,York St/Main St (Mornington),"-38.225792, 145.042556",3931
3150,Surrey St/Main St (Mornington),"-38.227705, 145.043772",3931
3151,Beleura Park/Nepean Hwy (Mornington),"-38.222594, 145.053459",3931
3152,Essex Park Dr/Power Rd (Endeavour Hills),"-37.971168, 145.242524",3802
3153,Ithaca Rd/Nepean Hwy (Frankston South),"-38.163887, 145.101989",3930
3154,Cassia Ct/Power Rd (Endeavour Hills),"-37.968652, 145.243017",3802
3155,Prout Webb Rd/Byrnes Rd (Shoreham),"-38.426488, 145.046794",3916
3156,Nelson St/Frankston-Flinders Rd (Shoreham),"-38.415643, 145.051426",3916
3157,Thompsons Lane/Frankston-Flinders Rd (Merricks),"-38.390923, 145.087343",3916
3158,Power Rd/Kennington Park Dr (Endeavour Hills),"-37.96699, 145.243979",3802
3159,Coolart Rd/Sandy Point Rd (Somers),"-38.376079, 145.144913",3927
3160,Coolart Wetlands/Lord Somers Rd (Somers),"-38.388776, 145.146626",3927
3161,The Promenade/Parklands Ave (Somers),"-38.391329, 145.147397",3927
3162,Reserve Rd/Parklands Ave (Somers),"-38.391724, 145.152974",3927
3163,Ocean View Cres/The Boulevard (Somers),"-38.393021, 145.158689",3927
3164,Somers Foreshore Reserve/The Boulevard (Somers),"-38.393914, 145.161609",3927
3165,Camp Hill Rd/Tasman Rd (Somers),"-38.393759, 145.164338",3927
3166,Gregory Ave/Tasman Rd (Somers),"-38.394272, 145.17242",3927
3167,South Beach Rd/Tasman Rd (Somers),"-38.394582, 145.176111",3927
