标题,标题链接,st,stores
PAKINGTON STRAND SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/geelong/pakington-strand-shopping-centre,"Victoria, Geelong, GPS: -38.136985, 144.347624 | phone: +61 3 8847 7100 | stores: 6",6
PARKDALE PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/parkdale/parkdale-plaza,"Victoria, Parkdale, GPS: -37.997395, 145.084297 | phone: Not Available | stores: 11",11
PARKHILL PLAZA SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/berwick/parkhill-plaza-shopping-centre,"Victoria, Berwick, GPS: -38.014211, 145.322697 | phone: Not Available | stores: 21",21
PARKMORE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/keysborough/parkmore-shopping-centre,"Victoria, Keysborough, GPS: -37.992893, 145.173138 | phone: 03 9798 9494 | stores: 128",128
PINEWOOD SHOPPING VILLAGE,https://www.australia-shoppings.com/malls-centres/victoria/mount-waverley/pinewood-shopping-village,"Victoria, Mount Waverley, GPS: -37.892422, 145.145241 | phone: Not Available | stores: 69",69
PRAN CENTRAL SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/prahran/pran-central-shopping-centre,"Victoria, Prahran, GPS: -37.846954, 144.993643 | phone: 03 9516 6000 | stores: 36",36
PRESTON MARKET,https://www.australia-shoppings.com/malls-centres/victoria/preston/preston-market,"Victoria, Preston, GPS: -37.739352, 145.00178 | phone: (03) 9478 3130 | stores: 114",114
QUEEN VICTORIA MARKET,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/queen-victoria-market,"Victoria, Melbourne, GPS: -37.807962, 144.955688 | phone: (03) 9320 5822 | stores: 101",101
QV - QUEEN VICTORIA VILLAGE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/qv-queen-victoria-village,"Victoria, Melbourne, GPS: -37.810696, 144.965716 | phone: 03 9207 9200 | stores: 116",116
RINGWOOD SQUARE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/ringwood/ringwood-square-shopping-centre,"Victoria, Ringwood, GPS: -37.815398, 145.222226 | phone: +61 3 9870 1402 | stores: 13",13
RITCHIES VILLAGE CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/mount-eliza/ritchies-village-centre,"Victoria, Mount Eliza, GPS: -38.185074, 145.089676 | phone: Not Available | stores: 79",79
ROSEBUD PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/rosebud/rosebud-plaza,"Victoria, Rosebud, GPS: -38.361526, 144.891378 | phone: Not Available | stores: 60",60
ROXBURGH PARK SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/roxburgh-park/roxburgh-park-shopping-centre,"Victoria, Roxburgh Park, GPS: -37.639405, 144.932287 | phone: (03) 9308 6811 | stores: 75",75
ROYAL ARCADE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/royal-arcade,"Victoria, Melbourne, GPS: -37.814699, 144.963505 | phone: 04 3889 1212 | stores: 39",39
RUNWAY PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/runway-plaza,"Victoria, Melbourne, GPS: -37.724585, 144.893951 | phone: 03 9948 9400 | stores: 15",15
SHEPPARTON MARKETPLACE,https://www.australia-shoppings.com/malls-centres/victoria/shepparton/shepparton-marketplace,"Victoria, Shepparton, GPS: -36.387641, 145.423834 | phone: (03) 5821 3533 | stores: 43",43
SPENCER OUTLET CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/spencer-outlet-centre,"Victoria, Melbourne, GPS: -37.816219, 144.952153 | phone: (03) 8689 7577 | stores: 111",111
SPENCER STREET FASHION STATION,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/spencer-street-fashion-station,"Victoria, Melbourne, GPS: -37.81898, 144.954095 | phone: +61 3 8689 7555 | stores: 12",12
SPRINGVALE HOMEMAKER CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/springvale/springvale-homemaker-centre,"Victoria, Springvale, GPS: -37.927444, 145.143394 | phone: 03 9544 6363 | stores: 28",28
ST HELENA MARKETPLACE,https://www.australia-shoppings.com/malls-centres/victoria/st-helena/st-helena-marketplace,"Victoria, St Helena, GPS: -37.685088, 145.135792 | phone: +61 3 9296 2092 | stores: 13",13
STOCKLAND HIGHLANDS SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/craigieburn/stockland-highlands-shopping-centre,"Victoria, Craigieburn, GPS: -37.5751264, 144.9201082 | phone: 03 9036 2855 | stores: 24",24
STOCKLAND POINT COOK SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/point-cook/stockland-point-cook-shopping-centre,"Victoria, Point Cook, GPS: -37.883369895772, 144.73538783062 | phone: 03 9395 4722 | stores: 137",137
STOCKLAND THE PINES,https://www.australia-shoppings.com/malls-centres/victoria/doncaster/stockland-the-pines,"Victoria, Doncaster, GPS: -37.763554, 145.168284 | phone: 03 9842 9000 | stores: 104",104
STOCKLAND TOORONGA SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/glen-iris/stockland-tooronga-shopping-centre,"Victoria, Glen Iris, GPS: -37.845596113968, 145.04558170316 | phone: 03 9560 2065 | stores: 27",27
STOCKLAND WENDOUREE,https://www.australia-shoppings.com/malls-centres/victoria/ballart/stockland-wendouree,"Victoria, Ballart, GPS: -37.53431, 143.823885 | phone: 03 5339 5131 | stores: 106",106
STRATH VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/bendigo/strath-village-shopping-centre,"Victoria, Bendigo, GPS: -36.774541, 144.305047 | phone: (03) 5442 5577 | stores: 36",36
STUD PARK,https://www.australia-shoppings.com/malls-centres/victoria/rowville/stud-park,"Victoria, Rowville, GPS: -37.920638, 145.237115 | phone: (03) 9764 1218 | stores: 57",57
SUNBURY SQUARE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/sunbury/sunbury-square-shopping-centre,"Victoria, Sunbury, GPS: -37.577542, 144.729432 | phone: (03) 9740 9400 | stores: 44",44
TARGET CENTRE MELBOURNE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/target-centre-melbourne,"Victoria, Melbourne, GPS: -37.813077, 144.966529 | phone: 04 5822 0019 | stores: 21",21
TARNEIT GARDENS SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/tarneit/tarneit-gardens-shopping-centre,"Victoria, Tarneit, GPS: -37.839616, 144.673555 | phone: 03 8742 7054 | stores: 20",20
THE COMO CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/south-yarra/the-como-centre,"Victoria, South Yarra, GPS: -37.838366, 144.996065 | phone: 03 8578 6504 | stores: 21",21
THE GATEWAY,https://www.australia-shoppings.com/malls-centres/victoria/warrnambool/the-gateway,"Victoria, Warrnambool, GPS: -38.381549, 142.520583 | phone: +61 3 5561 3898 | stores: 41",41
THE GLEN SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/glen-waverley/the-glen-shopping-centre,"Victoria, Glen Waverley, GPS: -37.87639, 145.165638 | phone: 03 9814 6000 | stores: 184",184
THE JAM FACTORY,https://www.australia-shoppings.com/malls-centres/victoria/south-yarra/the-jam-factory,"Victoria, South Yarra, GPS: -37.842618, 144.995792 | phone: (03) 9860 8500 | stores: 14",14
THE LOCAL VILLAGE,https://www.australia-shoppings.com/malls-centres/victoria/carrum-downs/the-local-village,"Victoria, Carrum Downs, GPS: -38.0886367, 145.1825171 | phone: 03 9947 5112 | stores: 10",10
THE MALL BORONIA,https://www.australia-shoppings.com/malls-centres/victoria/boronia/the-mall-boronia,"Victoria, Boronia, GPS: -37.860342, 145.286693 | phone: (03) 9762 4074 | stores: 37",37
THE PARAMOUNT RETAIL CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/the-paramount-retail-centre,"Victoria, Melbourne, GPS: -37.811333, 144.969441 | phone: Not Available | stores: 49",49
THE STRAND MELBOURNE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/the-strand-melbourne,"Victoria, Melbourne, GPS: -37.813277, 144.962665 | phone: (03) 9290 0200 | stores: 17",17
THE WALK ARCADE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/the-walk-arcade,"Victoria, Melbourne, GPS: -37.814766, 144.964729 | phone: +61 3 9654 6744 | stores: 26",26
THRIFT PARK SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/mentone/thrift-park-shopping-centre,"Victoria, Mentone, GPS: -37.984204, 145.076943 | phone: 03 9296 2092 | stores: 25",25
TOK H CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/toorak/tok-h-centre,"Victoria, Toorak, GPS: -37.84066, 145.008246 | phone: 03 9296 2092 | stores: 21",21
TRARALGON CENTRE PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/traralgon/stockland-traralgon-shopping-centre,"Victoria, Traralgon, GPS: -38.194538, 146.53939 | phone: 03 5174 9477 | stores: 56",56
VERMONT SOUTH SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/vermont-south/vermont-south-shopping-centre,"Victoria, Vermont South, GPS: -37.855243, 145.182224 | phone: 03 9417 9620 | stores: 52",52
VICTORIA GARDENS SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/richmond-victoria/victoria-gardens-shopping-centre,"Victoria, Richmond, GPS: -37.812724, 145.010977 | phone: 03 8420 1400 | stores: 80",80
VOGUE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/vogue-shopping-centre,"Victoria, Melbourne, GPS: -37.837395, 144.996158 | phone: +61 3 9823 8900 | stores: 18",18
WARRINGAL SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/heidelberg/warringal-shopping-centre,"Victoria, Heidelberg, GPS: -37.755915, 145.068739 | phone: 03 9455 3934 | stores: 39",39
WATERFRONT CITY,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/waterfront-city,"Victoria, Melbourne, GPS: -37.814342, 144.939035 | phone: Not Available ",
WATERGARDENS TOWN CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/taylors-lakes/watergardens-town-centre,"Victoria, Taylors Lakes, GPS: -37.699266, 144.775813 | phone: +61 3 9361 5555 | stores: 246",246
WATERVALE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/sydenham/watervale-shopping-centre,"Victoria, Sydenham, GPS: -37.723117, 144.751043 | phone: 03 9307 2048 | stores: 24",24
WAVERLEY GARDENS SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/mulgrave/waverley-gardens-shopping-centre,"Victoria, Mulgrave, GPS: -37.935473, 145.189605 | phone: (03) 9547 6088 | stores: 116",116
WELLINGTON VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/rowville/wellington-village-shopping-centre,"Victoria, Rowville, GPS: -37.92821, 145.252208 | phone: 03 9275 7777 | stores: 37",37
WESTFIELD AIRPORT WEST,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/westfield-airport-west,"Victoria, Melbourne, GPS: -37.714077, 144.886366 | phone: (03) 9338 4244 | stores: 158",158
WESTFIELD DONCASTER,https://www.australia-shoppings.com/malls-centres/victoria/doncaster/westfield-doncaster,"Victoria, Doncaster, GPS: -37.78685, 145.125332 | phone: 03 9848 1699 | stores: 377",377
WESTFIELD FOUNTAIN GATE,https://www.australia-shoppings.com/malls-centres/victoria/fountain-gate/westfield-fountain-gate,"Victoria, Fountain Gate, GPS: -38.017692, 145.303787 | phone: +61 3 9704 6666 | stores: 401",401
WESTFIELD GEELONG,https://www.australia-shoppings.com/malls-centres/victoria/geelong/westfield-geelong,"Victoria, Geelong, GPS: -38.146987, 144.362575 | phone: (03) 5215 4000 | stores: 160",160
WESTFIELD KNOX,https://www.australia-shoppings.com/malls-centres/victoria/wantirna-south/westfield-knox,"Victoria, Wantirna South, GPS: -37.86927, 145.24004 | phone: +61 3 9814 5000 | stores: 346",346
WESTFIELD PLENTY VALLEY,https://www.australia-shoppings.com/malls-centres/victoria/mill-park/westfield-plenty-valley,"Victoria, Mill Park, GPS: -37.651367, 145.071752 | phone: (03) 9404 4511 | stores: 170",170
WESTFIELD SOUTHLAND,https://www.australia-shoppings.com/malls-centres/victoria/cheltenham/westfield-southland,"Victoria, Cheltenham, GPS: -37.958445, 145.054806 | phone: 03 9582 5600 | stores: 324",324
WODONGA PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/wodonga-victoria/wodonga-plaza,"Victoria, Wodonga, GPS: -36.121153, 146.881917 | phone: 02 6025 4977 | stores: 48",48
WOODGROVE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/melton/woodgrove-shopping-centre,"Victoria, Melton, GPS: -37.686167, 144.56127 | phone: (03) 9971 0700 | stores: 161",161
WOOLWORTHS WHITEBOX RISE WODONGA,https://www.australia-shoppings.com/malls-centres/victoria/wodonga/woolworths-whitebox-rise-wodonga,"Victoria, Wodonga, GPS: -36.139008, 146.892456 | phone: 02 6022 2604 | stores: 8",8
WYNDHAM VALE SQUARE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/wyndham-vale/wyndham-vale-square-shopping-centre,"Victoria, Wyndham Vale, GPS: -37.888057, 144.607036 | phone: 03 5339 8584 | stores: 11",11
WYNDHAM VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/tarneit/wyndham-village-shopping-centre,"Victoria, Tarneit, GPS: -37.849333, 144.704302 | phone: 03 9974 3114 | stores: 63",63
