,Postcode,Centroid,Formal Name,Location Address,Suburb,Latitude and longitude
594,3677,-36.358017 146.330564,Wangaratta Private Hospital,134-150 Templeton Street,Wangaratta,"-36.3493,146.312423"
602,3690,-36.135717 146.864361,Albury Wodonga Health,69 Vermont Street,Wodonga,"-36.1319554,146.8798654"
603,3690,-36.135717 146.864361,Murray Valley Private Hospital,63 Pearce St ,Wodonga,"-36.1374861,146.8794739"
610,3700,-36.335898 147.35527,Tallangatta Health Service,Barree Street,Tallangatta,"-36.2146031,147.1826732"
614,3707,-36.586316 148.037958,Corryong Health,20 Kiell Street,Corryong,"-36.1988504,147.9030344"
620,3714,-37.210538 145.687889,Alexandra District Health,20 Cooper Street,Alexandra,"-37.1940818,145.7172472"
622,3717,-37.286611 145.435776,Yea and District Memorial Hospital,45 Station Street,Yea,"-37.213684,145.4308514"
626,3722,-37.202634 146.253268,Mansfield District Hospital,53 Highett Street,Mansfield,"-37.05760480000001,146.0865084"
633,3730,-36.051782 145.974755,Yarrawonga Health,33 Piper Street,Yarrawonga,"-36.0115157,146.0069717"
638,3737,-36.554037 146.82759,Alpine Health,30 O'Donnell Avenue,Myrtleford,"-36.5544039,146.7293605"
645,3747,-36.361056 146.725705,Beechworth Health Service,52 Sydney Road,Beechworth,"-36.3498063,146.6907159"
646,3749,-36.42031113 146.8638108,Yackandandah Bush Nursing Hospital Inc.,20 Isaacs Avenue,Yackandandah,"-36.3105807,146.8455109"
661,3764,-37.263736 144.900644,Kilmore District Health,Rutledge Street,Kilmore,"-37.3004803,144.9528104"
667,3777,-37.606088 145.513804,Healesville and District Hospital,377 Maroondah Highway,Healesville,"-37.6468041,145.5289292"
690,3806,-38.025018 145.349488,Berwick Surgicentre,22 Langmore Lane,Berwick,"-38.0336851,145.3464527"
691,3806,-38.025018 145.349488,Casey Hospital,52 Kangan Drive,Berwick,"-38.0423342,145.3460756"
692,3806,-38.025018 145.349488,Hyperbaric Health Wound Centre Berwick,3 Gibb Street,Berwick,"-38.0344013,145.3443999"
693,3806,-38.025018 145.349488,"St John of God Hospital, Berwick",44 Gloucester Avenue ,Berwick,"-38.0342592,145.3455249"
704,3820,-38.207476 145.922212,West Gippsland Healthcare Group,41 Landsborough Street,Warragul,"-38.1729995,145.9276797"
710,3831,-37.993258 146.013136,Neerim District Soldiers Memorial Hospital,29 Main Road,Neerim,"-37.9627552,145.954065"
714,3840,-38.245215 146.424457,Maryvale Private Hospital,McDonald Street,Morwell,"-38.2343425,146.4065983"
717,3844,-38.316869 146.607101,Latrobe Regional Hospital,Cnr Princes Highway & Village Avenue ,Traralgon West,"-38.2207258,146.4715822"
719,3850,-38.224191 147.106181,Central Gippsland Health Service,155 Guthridge Parade,Sale,"-38.1077223,147.0807548"
726,3858,-37.3690401 146.8291658,Heyfield Hospital Inc.,21 Tyson Road,Heyfield,"-37.9761299,146.7848101"
737,3875,-37.826032 147.63201,Bairnsdale Regional Health Service,122 Day St,Bairnsdale,"-37.8313964,147.6077414"
744,3888,-37.39051 148.660943,Orbost Regional Health,Boundary Road,Orbost,"-37.7006122,148.4600671"
752,3898,-37.066169 147.464799,Omeo District Health,12 Easton Street,Omeo,"-37.09841480000001,147.5969877"
762,3915,-38.305806 145.136622,The Bays Hospital - Hastings,86 Victoria St,Hastings,"-38.3033477,145.1902384"
775,3930,-38.195017 145.093743,"Mount Eliza Rehabilitation, Aged and Palliative Care",33 Jacksons Rd,Mt Eliza,"-38.16815570000001,145.0869529"
776,3931,-38.230038 145.049503,Beleura Private Hospital,925 Nepean Highway,Mornington,"-38.2254286,145.0487346"
777,3931,-38.230038 145.049503,The Bays Hospital,262-268 Main Street,Mornington,"-38.2240327,145.0418601"
783,3939,-38.42776 144.900413,Rosebud Hospital,1527 Point Nepean Road,Rosebud,"-38.3622539,144.8849173"
784,3940,-38.37363083 144.8754149,Rosebud Endoscopy,1537 Point Nepean Road,Rosebud West,"-38.361856,144.883633"
793,3953,-38.460127 145.995174,Gippsland Southern Health Service,66 Koonwarra Road,Leongatha,"-38.4874581,145.950678"
799,3960,-39.140761 146.360412,South Gippsland Hospital,87 Station Road,Foster,"-38.6588006,146.2061303"
805,3971,-38.631942 146.815723,Yarram and District Health Service,85 Commercial Road,Yarram,"-38.5571285,146.6783055"
807,3976,-38.043995 145.264296,The Hampton Park Women's Health Care Centre,2 Warana Drive,Hampton Park,"-38.0315896,145.2684897"
808,3977,-38.1466398 145.2695101,Cranbourne Integrated Care Centre,140-154 Sladen Street,Cranbourne,"-38.1132683,145.2810914"
812,3981,-38.207298 145.575,Kooweerup Regional Health Service,Rossiter Rd,Kooweerup,"-38.2021198,145.483986"
820,3995,-38.578071 145.630713,Bass Coast Health,235 Graham Street,Wonthaggi,"-38.6085912,145.581454"
